Employment Rate,Alcohol Consumption per adult (lt),Expend/student Primary,Expend/student Secondary,Expend/student Tertiary,CO2 Emissions per person (Mt Tons),Gender Equality Ratio,GDP per capita
55.56394465,0.02,,,,0.16,,1145.61
51.62827499,6.98,7.77695,,36.58375,1.11,0.666,6629.53
45.49721742,0.81,10.7463116,17.1495057,,3.37,0.607,6292.19
,12.55,10.91053889,10.22532218,26.80124612,6.35,,41350.39
75.55710689,5.48,4.21768,41.68302,76.38083899,1.44,0.629,5495.28
,,,,,3.94,,30376.82
,7.68,7.96814,12.21061,15.30997,5.21,,15028.32
57.25919807,9.67,12.95584287,18.79832484,15.37301571,4.56,0.712,14308.07
39.32607515,12.45,14.60587264,20.17604569,7.340019752,1.62,0.665,4798.57
,,12.76021094,19.19857987,31.80902057,21.61,,25351.09
60.42163313,10.11,16.77443815,14.96421978,22.9357059,17.51,0.725,34294.79
56.4836278,12.81,23.44740015,27.61182221,46.58292764,7.71,0.712,36147.29
58.77454101,11.89,6.441009445,16.19741971,14.81998015,5.5,0.664,9065.19
65.77812931,8.7,,,,7.51,0.72,21706.62
61.11268375,3.92,14.52397,16.24432,,21.87,0.609,25748.63
68.55660394,0.17,9.244402985,12.83638705,37.95789657,0.35,0.654,1558.75
65.52185692,6.66,20.38484747,27.95992856,51.13297065,5.64,0.72,16329.09
53.39935733,16.89,,,22.55939977,6.4,,12184.44
47.95461177,10.59,19.83210241,29.4083209,35.97979969,9.8,0.732,32905.04
56.25379283,5.99,15.40692072,20.61190999,31.74673162,1.36,0.653,7216.61
71.79982071,2.11,11.55982171,22.49267527,151.895987,0.55,0.577,1456.52
,,10.67805414,14.51496087,,6.57,,76501.12
56.61546777,0.54,9.174973918,41.89029434,177.2199115,0.6,,5092.14
68.87734777,5.44,13.75056592,11.84451827,44.19166684,1.46,0.672,4021.02
43.34459857,9.61,,,,8.13,,7662.97
42.98504693,7.45,14.25889943,39.66595048,283.0099695,2.39,0.686,13113.45
62.97778933,9.61,12.86486182,12.38969287,43.00925235,2.05,0.669,9945.1
,,,,,4.64,,46435.77
64.22808756,1.93,5.12253,7.79646,32.01406,25.57,0.664,44040.29
44.3057988,11.91,18.57021457,18.99975865,20.91802053,6.21,0.701,11139.01
81.214276,7.15,32.20625539,25.3145431,254.2077599,0.11,0.609,1274.72
83.55615521,9.56,16.2444707,66.07156271,608.1093735,0.02,0.73,470.69
79.14165097,4.74,5.915102542,7.843809415,42.49602,0.34,0.642,1841.75
59.78493565,7.73,6.616048895,31.41120036,44.62586209,0.32,0.605,2009.62
62.05169161,9.98,,,43.99679625,15.64,0.726,35329.95
55.45678716,4.97,16.97160308,19.21111455,101.555761,0.64,0.718,3600.52
,,,,,9.5,,50744.35
71.49978148,3.26,5.225136223,15.76838738,136.5855974,0.05,,692.11
68.61155823,4.38,8.301786963,23.82678608,263.2578163,0.04,0.537,1688.54
50.99278463,8.68,13.6017633,14.64139354,14.59313683,4.12,0.676,13876.56
73.59692066,5.73,,11.54033,89.99745,5.97,0.68,7765.73
60.36076428,6.38,13.85142305,13.69020474,26.29993287,1.59,0.694,7394.62
67.7140447,0.32,16.9958911,26.78282,,0.18,,1023.91
66.14264426,3.34,,,,0.04,,369.57
64.18565959,4.33,6.149220028,16.40071,172.152638,0.46,,3910.85
,3.46,,,,3.47,,18806.02
57.65329648,5.68,14.72277335,17.92462235,35.78921,1.86,0.713,10039.94
60.34186746,6.47,13.78703553,37.07609268,122.0851733,0.35,0.575,1483.78
45.36180385,15.05,21.16442928,21.88098336,30.88577237,5.08,0.704,14200.42
55.89948703,5.31,35.12934877,44.39705107,69.12107835,2.72,0.727,9421.07
58.89851986,9.05,21.76470772,34.00933299,53.9155725,7.73,0.661,25753.64
55.06908093,16.46,12.3440366,22.32225369,30.89083392,10.79,0.677,22672.46
62.76956683,12.68,24.83185215,34.97055331,62.42005591,8.14,0.763,33132.62
,1.87,23.51604171,33.10959,,0.61,,2185.53
,8.25,14.4185438,13.64458568,,1.89,,9956.66
53.14977141,6.34,7.054192862,5.223204674,,2.13,0.672,6493.39
58.62062973,9.4,3.750079993,7.593809369,,2.23,0.698,7286.64
41.79911659,0.34,,,,2.73,0.587,5976.74
57.75558969,3.8,8.712741389,8.699345176,11.81590507,1.04,0.675,5648.51
62.55592928,6.1,1.06594,2.85578,,7.17,,15174.04
64.92853479,1.59,10.98949393,26.19998425,565.4824544,0.09,,570.03
53.8945344,16.38,19.93083755,25.34378996,22.20441112,12.76,0.701,17517.32
78.71308714,4.06,18.16389,9.84323,31.02186,0.09,0.601,830.44
56.27059582,2.59,17.39705,16.13491,62.76775,1.13,0.63,4118.11
56.01046163,12.81,17.81657857,28.56038698,35.67071937,10.53,0.822,31638.71
50.65511023,13.06,18.05662986,28.8251913,33.19580526,5.8,0.7,30027.62
,,,,,3.35,,26733.88
59.07112182,9.39,,,,1.31,,13241.64
71.78560629,3.48,12.70564186,16.1767884,149.0210679,0.26,0.663,777.37
