Id,TagName,Count,ExcerptPostId,WikiPostId
1,definitions,22,105,104
2,machine-learning,3944,4909,4908
3,bigdata,329,66,65
5,data-mining,727,80,79
6,databases,55,8960,8959
8,libsvm,11,18,17
10,scalability,22,,
11,efficiency,25,142,141
12,performance,73,,
13,nosql,21,119,118
14,relational-dbms,5,,
15,clustering,563,145,144
16,octave,10,68,67
17,k-means,169,8958,8957
19,algorithms,247,8932,8931
21,tools,47,,
22,processing,13,,
23,apache-hadoop,99,5840,5839
24,r,828,49,48
26,data-cleaning,262,8940,8939
27,statistics,388,3790,3789
29,distributed,28,,
31,neo4j,10,181,180
35,information-retrieval,69,,
36,google,16,,
37,search,31,,
39,education,28,8276,8275
40,open-source,15,,
42,similarity,112,,
43,data-stream-mining,13,109,108
45,dimensionality-reduction,109,8975,8974
46,python,1860,5523,5522
47,nlp,644,147,146
48,language-model,22,,
50,topic-model,68,8400,8399
51,lda,65,6763,6762
54,feature-selection,316,8936,8935
55,map-reduce,23,137,136
56,mongodb,10,178,177
59,indexing,6,152,151
60,data-indexing-techniques,4,149,148
61,dataset,535,8889,8888
62,.net,5,168,167
64,pandas,319,9185,9184
65,parallel,24,,
66,metadata,7,,
67,parsing,20,,
71,social-network-analysis,67,8973,8972
72,time-series,500,8904,8903
73,javascript,15,,
74,visualization,296,8952,8951
76,svm,242,8574,8573
77,classification,1141,4911,4910
78,binary,36,,
80,optimization,157,8954,8953
81,neural-network,1687,8885,8884
82,usecase,4,,
83,consumerweb,6,,
84,parameter,22,,
86,clusters,30,,
87,aws,19,,
90,text-mining,388,8900,8899
94,freebase,3,,
95,knowledge-base,17,,
100,confusion-matrix,39,9043,9042
101,accuracy,81,,
102,categorical-data,143,8977,8976
104,data-formats,22,,
105,hierarchical-data-format,14,,
108,sql,41,8990,8989
109,research,24,,
110,experiments,19,,
113,random-forest,277,8938,8937
114,logistic-regression,228,8934,8933
115,evaluation,88,,
116,crawling,10,,
119,anonymization,5,,
120,beginner,97,10335,10334
123,graphs,92,,
124,cross-validation,180,8988,8987
126,sampling,61,,
128,scikit-learn,699,5896,5895
129,kaggle,26,,
135,gradient-descent,149,,
136,feature-extraction,178,10019,10018
138,state-of-the-art,5,,
139,career,37,,
143,genetic,3,,
144,correlation,133,8969,8968
146,error-handling,16,,
147,apache-pig,7,22402,22401
156,glm,12,,
157,regression,488,8906,8905
158,scala,32,,
159,csv,30,8992,8991
160,online-learning,35,,
162,unbalanced-classes,99,,
164,gbm,37,9096,9095
167,marketing,17,,
168,predictive-modeling,518,8902,8901
175,library,9,,
179,java,37,10021,10020
180,energy,5,,
184,anomaly-detection,99,,
185,forecast,61,,
186,sequence,39,9053,9052
191,hbase,3,,
193,tableau,19,,
194,deep-learning,1415,8956,8955
195,ensemble-modeling,71,,
197,infographics,5,,
200,feature-scaling,69,21855,21854
201,apache-mahout,17,,
202,hive,8,,
205,object-recognition,35,,
206,hog,2,,
207,computer-vision,157,9205,9204
211,methods,9,,
212,scoring,17,,
213,ranking,44,9049,9048
214,sports,4,,
215,markov-process,36,8986,8985
216,matlab,82,,
217,simulation,14,,
218,finance,18,,
219,apache-spark,168,8971,8970
220,linear-regression,239,8887,8886
222,version-control,4,,
223,convnet,278,12581,12580
224,image-classification,214,,
226,software-development,12,,
227,rstudio,23,,
229,programming,25,,
232,notation,6,,
233,terminology,43,9059,9058
235,sas,9,9051,9050
236,hyperparameter,54,21852,21851
237,survival-analysis,14,9045,9044
238,discriminant-analysis,7,9106,9105
239,multiclass-classification,150,,
240,books,18,,
243,genetic-algorithms,21,,
244,featurization,4,,
249,decision-trees,253,16988,16987
250,self-study,23,,
251,named-entity-recognition,45,,
254,bioinformatics,11,9098,9097
255,data,249,35800,35799
261,multitask-learning,13,6442,6441
266,word-embeddings,126,6614,6613
269,software-recommendation,27,9057,9056
271,preprocessing,136,,
272,multilabel-classification,88,6780,6779
273,reference-request,44,9055,9054
274,julia,6,12599,12598
276,loss-function,106,,
278,ggplot2,17,21818,21817
279,normalization,68,,
280,weighted-data,20,,
281,feature-construction,38,,
282,supervised-learning,142,9047,9046
283,descriptive-statistics,24,9104,9103
284,aggregation,14,,
286,c,6,,
287,missing-data,52,,
288,markov,9,,
289,expectation-maximization,7,9102,9101
290,distance,56,12579,12578
291,cosine-distance,24,,
293,learning,9,,
298,ipython,26,,
299,anaconda,7,,
301,numerical,11,,
302,history,4,,
303,outlier,61,12561,12560
304,unsupervised-learning,154,9094,9093
305,probability,110,,
307,autoencoder,90,8674,8673
310,backpropagation,125,36804,36803
311,theano,45,,
312,fuzzy-logic,11,,
313,weka,32,18889,18888
315,scraping,28,,
317,xgboost,201,12577,12576
319,data-wrangling,19,,
320,data-product,5,,
321,tensorflow,564,9183,9182
322,excel,22,,
323,semi-supervised-learning,21,,
324,keras,676,9251,9250
325,azure-ml,29,9253,9252
327,machine-translation,19,,
328,data-imputation,30,,
329,gensim,44,10237,10236
330,lsi,4,,
331,model-selection,79,,
332,feature-engineering,160,25556,25555
333,hinge-loss,2,9986,9985
334,stata,4,,
335,text,66,,
337,json,12,,
340,reinforcement-learning,192,9674,9673
341,q-learning,50,9676,9675
342,google-prediction-api,8,,
344,ab-test,28,,
345,nltk,64,10023,10022
346,apache-kafka,3,,
347,pybrain,3,,
348,word2vec,152,12733,12732
351,convergence,9,,
352,pgm,4,9830,9829
354,parameter-estimation,27,,
356,bayesian-networks,24,,
358,orange,115,9921,9920
359,churn,14,,
360,naive-bayes-classifier,75,9984,9983
361,image-recognition,91,10017,10016
362,market-basket-analysis,14,,
363,association-rules,34,,
364,audio-recognition,33,,
365,rbm,30,10129,10128
366,interpolation,8,10137,10136
367,recommender-system,207,25261,25260
368,regularization,54,,
370,dbscan,20,,
372,pca,106,23174,23173
373,randomized-algorithms,8,,
374,rnn,247,10591,10590
376,labels,26,,
377,tsne,29,23176,23175
378,manifold,6,,
380,stanford-nlp,33,10929,10928
382,dropout,31,,
383,training,138,,
386,amazon-ml,8,,
388,geospatial,23,11343,11342
389,sequential-pattern-mining,30,,
393,gpu,47,,
395,jaccard-coefficient,4,,
396,pyspark,55,,
397,jupyter,39,,
398,sentiment-analysis,73,,
400,torch,9,,
401,competitions,3,,
402,overfitting,71,,
403,powerbi,5,,
407,prediction,139,,
409,score,7,,
410,encoding,33,,
411,spss,4,,
412,gaussian,34,,
415,mutual-information,7,,
416,bayesian,38,,
422,etl,6,,
426,master-algorithm,2,,
427,graphical-model,21,,
434,domain-adaptation,6,,
437,methodology,16,,
438,theory,16,,
439,reductions,2,,
442,distribution,40,,
443,text-generation,12,,
444,estimators,10,,
445,information-theory,18,,
450,cost-function,34,,
452,data-augmentation,18,,
454,opencpu,2,,
455,data.table,8,,
457,inception,27,,
458,caffe,20,,
459,redshift,4,17602,17601
461,text-filter,6,,
464,management,5,,
465,variance,21,,
466,regex,9,,
467,noisification,2,,
468,privacy,5,,
470,vc-theory,6,,
471,search-engine,9,,
473,community,3,,
474,monte-carlo,7,,
476,pytorch,43,16990,16989
478,dirichlet,3,,
480,plotting,56,,
481,matrix-factorisation,26,,
482,convolution,87,,
483,active-learning,4,,
484,tokenization,6,,
485,linux,4,,
486,data-leakage,4,,
487,gan,65,24887,24886
